CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,11.7,3.3,1.3
CPU_ALL,T0002,7.7,0.8,0.0
CPU_ALL,T0003,8.5,4.3,0.0
CPU_ALL,T0004,10.6,9.1,0.0
CPU_ALL,T0005,11.7,11.3,0.1
CPU_ALL,T0006,11.6,10.1,0.0
CPU_ALL,T0007,12.5,12.5,0.0
CPU_ALL,T0008,13.9,10.6,0.0
CPU_ALL,T0009,24.7,36.2,0.1
CPU_ALL,T0010,34.3,10.4,0.6
CPU_ALL,T0011,35.0,18.8,0.0
CPU_ALL,T0012,21.1,22.2,0.2
CPU_ALL,T0013,19.9,47.1,0.1
CPU_ALL,T0014,18.8,64.8,0.1
CPU_ALL,T0015,18.4,48.9,0.5
CPU_ALL,T0016,18.4,53.4,0.1
CPU_ALL,T0017,18.2,57.7,0.1
CPU_ALL,T0018,16.8,59.3,0.1
CPU_ALL,T0019,16.3,72.7,0.0
CPU_ALL,T0020,15.9,81.4,0.1
CPU_ALL,T0021,10.2,78.4,0.0
CPU_ALL,T0022,13.0,82.5,0.0
CPU_ALL,T0023,8.2,79.0,0.0
CPU_ALL,T0024,7.9,74.8,0.0
CPU_ALL,T0025,10.2,82.5,0.0
CPU_ALL,T0026,10.2,75.0,0.0
CPU_ALL,T0027,8.6,72.5,0.0
CPU_ALL,T0028,8.1,73.1,0.0
CPU_ALL,T0029,7.4,73.0,0.0
CPU_ALL,T0030,8.4,63.6,0.3
CPU_ALL,T0031,10.2,44.1,0.1
CPU_ALL,T0032,11.4,41.2,0.0
CPU_ALL,T0033,9.2,47.7,0.0
CPU_ALL,T0034,4.2,13.1,0.0
CPU_ALL,T0035,12.5,62.9,0.0
CPU_ALL,T0036,10.2,56.5,0.0
CPU_ALL,T0037,9.1,46.8,0.0
CPU_ALL,T0038,23.4,54.7,0.0
CPU_ALL,T0039,21.0,77.2,0.0
CPU_ALL,T0040,21.4,77.4,0.0
CPU_ALL,T0041,21.9,76.9,0.1
CPU_ALL,T0042,21.1,76.8,0.0
CPU_ALL,T0043,20.8,78.8,0.0
CPU_ALL,T0044,20.5,79.1,0.0
CPU_ALL,T0045,20.6,78.7,0.0
CPU_ALL,T0046,21.5,77.6,0.1
CPU_ALL,T0047,19.5,77.6,0.0
CPU_ALL,T0048,22.1,77.8,0.0
CPU_ALL,T0049,21.9,78.0,0.0
CPU_ALL,T0050,21.1,78.5,0.0
CPU_ALL,T0051,19.7,77.1,0.0
CPU_ALL,T0052,20.7,78.1,0.0
CPU_ALL,T0053,21.6,78.1,0.0
CPU_ALL,T0054,20.2,78.7,0.0
CPU_ALL,T0055,20.1,78.9,0.0
CPU_ALL,T0056,22.1,77.9,0.0
CPU_ALL,T0057,21.0,78.5,0.0
CPU_ALL,T0058,20.3,78.7,0.0
CPU_ALL,T0059,20.2,79.4,0.0
CPU_ALL,T0060,20.3,78.8,0.0
CPU_ALL,T0061,20.2,79.4,0.0
CPU_ALL,T0062,21.6,78.2,0.0
CPU_ALL,T0063,19.9,78.0,0.0
CPU_ALL,T0064,20.5,79.2,0.0
CPU_ALL,T0065,20.2,77.9,0.0
CPU_ALL,T0066,21.4,78.6,0.0
CPU_ALL,T0067,21.6,78.2,0.0
CPU_ALL,T0068,21.6,77.5,0.0
CPU_ALL,T0069,21.5,77.1,0.0
CPU_ALL,T0070,23.3,74.4,0.1
CPU_ALL,T0071,27.2,70.3,0.0
CPU_ALL,T0072,28.9,69.1,0.0
CPU_ALL,T0073,29.6,68.6,0.0
CPU_ALL,T0074,28.9,68.2,0.0
CPU_ALL,T0075,29.1,68.8,0.1
CPU_ALL,T0076,29.5,67.8,0.0
CPU_ALL,T0077,29.9,67.5,0.0
CPU_ALL,T0078,29.1,67.9,0.1
CPU_ALL,T0079,29.5,67.5,0.0
CPU_ALL,T0080,28.3,70.0,0.0
CPU_ALL,T0081,29.0,68.1,0.1
CPU_ALL,T0082,28.5,69.3,0.0
CPU_ALL,T0083,29.4,68.1,0.0
CPU_ALL,T0084,28.7,68.2,0.0
CPU_ALL,T0085,28.6,69.9,0.0
CPU_ALL,T0086,28.7,68.4,0.0
CPU_ALL,T0087,32.5,65.1,0.1
