MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,7623.9,-0.0,-0.0,1956.0,179.0,3868.1,2770.0,-1.0,455.8,0.0,2935.1
MEM,T0002,15677.5,-0.0,-0.0,1956.0,7353.9,-0.0,-0.0,1956.0,155.0,3844.1,3063.3,-1.0,455.8,0.0,2935.1
MEM,T0003,15677.5,-0.0,-0.0,1956.0,7119.5,-0.0,-0.0,1956.0,155.0,3844.2,3271.4,-1.0,455.8,0.0,2935.2
MEM,T0004,15677.5,-0.0,-0.0,1956.0,7022.6,-0.0,-0.0,1956.0,155.0,3844.7,3280.1,-1.0,455.8,0.0,2935.6
MEM,T0005,15677.5,-0.0,-0.0,1956.0,6886.3,-0.0,-0.0,1956.0,155.0,3845.5,3333.5,-1.0,455.8,0.0,2936.5
MEM,T0006,15677.5,-0.0,-0.0,1956.0,6728.0,-0.0,-0.0,1956.0,155.0,3846.0,3385.3,-1.0,455.8,0.0,2937.0
MEM,T0007,15677.5,-0.0,-0.0,1956.0,6620.2,-0.0,-0.0,1956.0,155.0,3846.7,3423.0,-1.0,455.8,0.0,2937.6
MEM,T0008,15677.5,-0.0,-0.0,1956.0,6478.8,-0.0,-0.0,1956.0,155.0,3847.6,3465.8,-1.0,455.8,0.0,2938.5
MEM,T0009,15677.5,-0.0,-0.0,1956.0,6405.0,-0.0,-0.0,1956.0,163.0,3856.0,3493.5,-1.0,455.8,0.0,2938.9
MEM,T0010,15677.5,-0.0,-0.0,1956.0,6140.9,-0.0,-0.0,1956.0,163.0,3856.5,3684.7,-1.0,455.8,0.0,2939.5
MEM,T0011,15677.5,-0.0,-0.0,1956.0,5726.9,-0.0,-0.0,1956.0,199.1,3894.0,3945.8,-1.0,455.8,0.0,2940.9
MEM,T0012,15677.5,-0.0,-0.0,1956.0,5442.6,-0.0,-0.0,1956.0,383.7,4079.4,3993.1,-1.0,455.8,0.0,2941.1
