CPU_ALL,CPU Total TI6304006020866,User%,Sys%,Wait%
CPU_ALL,T0001,23.3,3.9,1.4
CPU_ALL,T0002,8.0,0.7,0.0
CPU_ALL,T0003,9.8,2.3,0.0
CPU_ALL,T0004,18.1,9.5,0.1
CPU_ALL,T0005,19.8,12.0,0.8
CPU_ALL,T0006,18.7,13.6,0.0
CPU_ALL,T0007,23.8,16.9,0.0
CPU_ALL,T0008,20.0,13.8,0.0
CPU_ALL,T0009,21.4,25.3,0.1
CPU_ALL,T0010,21.0,29.5,0.2
CPU_ALL,T0011,20.3,65.7,0.0
CPU_ALL,T0012,22.9,70.5,0.0
CPU_ALL,T0013,22.3,70.3,0.0
CPU_ALL,T0014,18.9,64.3,0.0
CPU_ALL,T0015,17.3,46.0,0.3
CPU_ALL,T0016,16.6,50.0,0.0
CPU_ALL,T0017,13.9,74.7,0.0
CPU_ALL,T0018,13.2,82.8,0.0
CPU_ALL,T0019,11.4,81.8,0.0
CPU_ALL,T0020,10.8,74.8,0.2
CPU_ALL,T0021,11.1,77.0,0.0
CPU_ALL,T0022,18.1,78.3,0.0
CPU_ALL,T0023,18.9,79.0,0.0
CPU_ALL,T0024,19.8,79.4,0.0
CPU_ALL,T0025,20.0,78.3,0.0
CPU_ALL,T0026,21.3,78.1,0.0
CPU_ALL,T0027,20.5,78.9,0.0
CPU_ALL,T0028,20.7,78.4,0.0
CPU_ALL,T0029,19.8,78.1,0.0
CPU_ALL,T0030,20.3,79.1,0.0
CPU_ALL,T0031,21.6,77.8,0.0
CPU_ALL,T0032,20.2,78.5,0.0
CPU_ALL,T0033,20.6,79.1,0.0
CPU_ALL,T0034,20.8,78.2,0.0
CPU_ALL,T0035,21.1,78.3,0.0
CPU_ALL,T0036,20.7,77.1,0.0
CPU_ALL,T0037,21.4,76.8,0.0
CPU_ALL,T0038,20.3,78.1,0.0
CPU_ALL,T0039,19.6,78.4,0.0
CPU_ALL,T0040,20.4,78.9,0.0
CPU_ALL,T0041,21.1,78.4,0.0
CPU_ALL,T0042,20.8,78.4,0.0
CPU_ALL,T0043,21.1,76.4,0.0
CPU_ALL,T0044,20.8,76.2,0.0
CPU_ALL,T0045,21.1,77.5,0.0
CPU_ALL,T0046,20.7,77.7,0.0
CPU_ALL,T0047,19.9,78.0,0.0
CPU_ALL,T0048,19.9,79.3,0.0
CPU_ALL,T0049,21.1,77.6,0.0
