MEM,Memory MB TI6304006020866,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,15677.5,-0.0,-0.0,1956.0,10152.4,-0.0,-0.0,1956.0,195.6,2589.7,2829.6,-1.0,135.2,0.0,1308.1
MEM,T0002,15677.5,-0.0,-0.0,1956.0,9899.2,-0.0,-0.0,1956.0,175.6,2569.7,3106.3,-1.0,135.2,0.0,1308.1
MEM,T0003,15677.5,-0.0,-0.0,1956.0,9642.8,-0.0,-0.0,1956.0,159.0,2553.2,3310.5,-1.0,135.2,0.0,1308.2
MEM,T0004,15677.5,-0.0,-0.0,1956.0,9365.5,-0.0,-0.0,1956.0,159.0,2554.0,3429.7,-1.0,135.2,0.0,1309.1
MEM,T0005,15677.5,-0.0,-0.0,1956.0,9061.4,-0.0,-0.0,1956.0,159.0,2555.2,3533.6,-1.0,135.2,0.0,1310.3
MEM,T0006,15677.5,-0.0,-0.0,1956.0,8922.5,-0.0,-0.0,1956.0,159.0,2556.3,3582.4,-1.0,135.2,0.0,1311.4
MEM,T0007,15677.5,-0.0,-0.0,1956.0,8765.2,-0.0,-0.0,1956.0,157.0,2555.0,3647.2,-1.0,135.2,0.0,1312.0
MEM,T0008,15677.5,-0.0,-0.0,1956.0,8543.0,-0.0,-0.0,1956.0,157.0,2556.0,3719.6,-1.0,135.2,0.0,1313.0
MEM,T0009,15677.5,-0.0,-0.0,1956.0,8374.0,-0.0,-0.0,1956.0,161.0,2561.1,3796.4,-1.0,135.2,0.0,1314.1
MEM,T0010,15677.5,-0.0,-0.0,1956.0,8219.3,-0.0,-0.0,1956.0,165.0,2565.9,3841.8,-1.0,135.2,0.0,1314.9
MEM,T0011,15677.5,-0.0,-0.0,1956.0,8178.2,-0.0,-0.0,1956.0,165.0,2566.7,3878.2,-1.0,135.2,0.0,1315.7
MEM,T0012,15677.5,-0.0,-0.0,1956.0,8160.0,-0.0,-0.0,1956.0,165.0,2567.0,3897.2,-1.0,135.2,0.0,1316.1
MEM,T0013,15677.5,-0.0,-0.0,1956.0,8158.4,-0.0,-0.0,1956.0,165.0,2567.1,3899.3,-1.0,135.2,0.0,1316.1
MEM,T0014,15677.5,-0.0,-0.0,1956.0,8157.0,-0.0,-0.0,1956.0,165.0,2567.1,3900.8,-1.0,135.2,0.0,1316.1
MEM,T0015,15677.5,-0.0,-0.0,1956.0,8155.8,-0.0,-0.0,1956.0,165.0,2567.1,3902.5,-1.0,135.2,0.0,1316.1
MEM,T0016,15677.5,-0.0,-0.0,1956.0,8155.0,-0.0,-0.0,1956.0,165.0,2567.1,3903.3,-1.0,135.2,0.0,1316.2
MEM,T0017,15677.5,-0.0,-0.0,1956.0,8153.0,-0.0,-0.0,1956.0,165.0,2567.1,3904.8,-1.0,135.2,0.0,1316.2
MEM,T0018,15677.5,-0.0,-0.0,1956.0,8153.0,-0.0,-0.0,1956.0,165.0,2567.2,3889.0,-1.0,135.2,0.0,1316.2
MEM,T0019,15677.5,-0.0,-0.0,1956.0,8153.0,-0.0,-0.0,1956.0,165.0,2567.2,3889.6,-1.0,135.2,0.0,1316.2
MEM,T0020,15677.5,-0.0,-0.0,1956.0,8156.5,-0.0,-0.0,1956.0,165.0,2567.2,3890.9,-1.0,135.2,0.0,1316.2
